id,gen,sp,ssp,group,en,rec,cnt,loc,lat,lng,alt,type,sex,stage,method,url,file,file-name,sono,osci,lic,q,length,time,date,uploaded,also,rmk,bird-seen,animal-seen,playback-used,temp,regnr,auto,dvc,mic,smp
615864,Prinia,lepida,,birds,Delicate Prinia,Cedric Mroczko,Turkey,"Yumurtalık Lagünleri Milli Parkı (Halep çamı ormanı), Adana",36.741,35.6243,0,call,,,field recording,//xeno-canto.org/615864,https://xeno-canto.org/615864/download,XC615864-201213_002l.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC615864-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC615864-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC615864-large.png', 'full': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC615864-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC615864-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC615864-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC615864-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,C,0:07,14:50,2020-12-13,2021-01-18,[],"High-pass fitered (1000Hz, 6dB). d100 + clippy em272 stereo",no,no,no,,,no,,,44100
614722,Prinia,lepida,,birds,Delicate Prinia,Cedric Mroczko,Turkey,"Yumurtalık Lagünleri Milli Parkı (Halep çamı ormanı), Adana",36.741,35.6243,0,call,,,field recording,//xeno-canto.org/614722,https://xeno-canto.org/614722/download,XC614722-201213_004z4.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC614722-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC614722-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC614722-large.png', 'full': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC614722-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC614722-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC614722-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC614722-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,C,0:03,16:45,2020-12-13,2021-01-12,[],"High-pass filtered (1000Hz, 6dB). d100 + clippy em272 stereo",no,no,no,,,no,,,44100
614719,Prinia,lepida,,birds,Delicate Prinia,Cedric Mroczko,Turkey,"Yumurtalık Lagünleri Milli Parkı (Halep çamı ormanı), Adana",36.741,35.6243,0,call,,,field recording,//xeno-canto.org/614719,https://xeno-canto.org/614719/download,XC614719-201213_004yek.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC614719-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC614719-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC614719-large.png', 'full': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC614719-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC614719-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC614719-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC614719-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,C,0:03,16:30,2020-12-13,2021-01-12,['Rallus aquaticus'],d100 + clippy em272 stereo,no,no,no,,,no,,,44100
614715,Prinia,lepida,,birds,Delicate Prinia,Cedric Mroczko,Turkey,"Yumurtalık Lagünleri Milli Parkı (Halep çamı ormanı), Adana",36.741,35.6243,0,call,,,field recording,//xeno-canto.org/614715,https://xeno-canto.org/614715/download,XC614715-201213_004w.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC614715-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC614715-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC614715-large.png', 'full': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC614715-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC614715-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC614715-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC614715-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,C,0:02,16:25,2020-12-13,2021-01-12,['Cettia cetti'],"High-pass filtered (500Hz, 6dB). d100 + clippy em272 stereo",no,no,no,,,no,,,44100
609378,Prinia,lepida,,birds,Delicate Prinia,Cedric Mroczko,Turkey,"Yumurtalık, Adana",36.6293,35.6173,0,call,,,field recording,//xeno-canto.org/609378,https://xeno-canto.org/609378/download,XC609378-1215_120155.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC609378-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC609378-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC609378-large.png', 'full': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC609378-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC609378-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC609378-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC609378-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,C,0:02,12:00,2020-12-15,2020-12-16,['Galerida cristata'],High-pass filtered,yes,yes,no,,,no,,,44100
123020,Prinia,lepida,,birds,Delicate Prinia,Cedric Mroczko,Turkey,"Bahçe, Karataş, Adana Province",36.6194,35.4763,10,song,,,field recording,//xeno-canto.org/123020,https://xeno-canto.org/123020/download,XC123020-STE-001.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC123020-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC123020-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC123020-large.png', 'full': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC123020-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC123020-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC123020-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC123020-large.png'}",//creativecommons.org/licenses/by-nc-sa/3.0/,C,0:21,10:00,2010-04-12,2013-02-27,"['Emberiza calandra', 'Acrocephalus scirpaceus']","Filtering : High pass 1000 hz (Audacity)
Amplification (Audacity)",yes,yes,no,,,no,,,44100
615602,Prinia,lepida,,birds,Delicate Prinia,Cedric Mroczko,Turkey,"Yumurtalık Lagünleri Milli Parkı (Halep çamı ormanı), Adana",36.741,35.6243,0,call,,,field recording,//xeno-canto.org/615602,https://xeno-canto.org/615602/download,XC615602-201214_004b.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC615602-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC615602-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC615602-large.png', 'full': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC615602-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC615602-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC615602-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC615602-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,D,0:13,11:15,2020-12-14,2021-01-17,"['Cettia cetti', 'Erithacus rubecula', 'Galerida cristata', 'Phylloscopus collybita']","High-pass filtered (2000Hz, 6dB). d100 + clippy em272 stereo",no,no,no,,,no,,,44100
615596,Prinia,lepida,,birds,Delicate Prinia,Cedric Mroczko,Turkey,"Yumurtalık Lagünleri Milli Parkı (Halep çamı ormanı), Adana",36.741,35.6243,0,call,,,field recording,//xeno-canto.org/615596,https://xeno-canto.org/615596/download,XC615596-201214_004a.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC615596-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC615596-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC615596-large.png', 'full': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC615596-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC615596-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC615596-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC615596-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,D,0:03,11:15,2020-12-14,2021-01-17,['Phylloscopus collybita'],"High-pass filtered (2500Hz, 6dB). d100 + clippy em272 stereo",no,no,no,,,no,,,44100
614721,Prinia,lepida,,birds,Delicate Prinia,Cedric Mroczko,Turkey,"Yumurtalık Lagünleri Milli Parkı (Halep çamı ormanı), Adana",36.741,35.6243,0,call,,,field recording,//xeno-canto.org/614721,https://xeno-canto.org/614721/download,XC614721-201213_004se.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC614721-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC614721-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC614721-large.png', 'full': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC614721-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC614721-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC614721-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC614721-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,D,0:03,16:40,2020-12-13,2021-01-12,['Cettia cetti'],"High-pass filtered (1000Hz, 12dB). d100 + clippy em272 stereo",no,no,no,,,no,,,44100
408246,Anser,cygnoides,DOMESTIC,birds,Swan Goose,Kerem Ali Boyla,Turkey,Kızııırmak Delta,,,0,call,,,field recording,//xeno-canto.org/408246,https://xeno-canto.org/408246/download,XC408246-180313-001_Anser_cygnoides.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/NEMUAOWFZM/ffts/XC408246-small.png', 'med': '//xeno-canto.org/sounds/uploaded/NEMUAOWFZM/ffts/XC408246-med.png', 'large': '//xeno-canto.org/sounds/uploaded/NEMUAOWFZM/ffts/XC408246-large.png', 'full': '//xeno-canto.org/sounds/uploaded/NEMUAOWFZM/ffts/XC408246-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/NEMUAOWFZM/wave/XC408246-small.png', 'med': '//xeno-canto.org/sounds/uploaded/NEMUAOWFZM/wave/XC408246-med.png', 'large': '//xeno-canto.org/sounds/uploaded/NEMUAOWFZM/wave/XC408246-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:11,14:30,2018-03-13,2018-03-31,[],A recently introduced domestic species in Turkey.,yes,yes,no,,,no,,,44100
624245,Tadorna,tadorna,,birds,Common Shelduck,Cedric Mroczko,Turkey,"Göksu deltası, Silifke, Mersin",36.2823,33.9749,0,nocturnal flight call,,,field recording,//xeno-canto.org/624245,https://xeno-canto.org/624245/download,XC624245-201221_004a.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC624245-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC624245-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC624245-large.png', 'full': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC624245-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC624245-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC624245-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC624245-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,C,0:02,20:00,2020-12-21,2021-02-24,[],"High-pass filtered (500Hz, 12dB). d100 + em272 clippy stereo",no,no,no,,,no,,,44100
644981,Tadorna,ferruginea,,birds,Ruddy Shelduck,Mehmet Ali Demiral,Turkey,"Eğirdir, Eğirdir, Isparta",38.0652,30.85,900,duet,"female, male",adult,field recording,//xeno-canto.org/644981,https://xeno-canto.org/644981/download,XC644981-ANGIT 22-04-2021-1.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/APBCHAOWEG/ffts/XC644981-small.png', 'med': '//xeno-canto.org/sounds/uploaded/APBCHAOWEG/ffts/XC644981-med.png', 'large': '//xeno-canto.org/sounds/uploaded/APBCHAOWEG/ffts/XC644981-large.png', 'full': '//xeno-canto.org/sounds/uploaded/APBCHAOWEG/ffts/XC644981-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/APBCHAOWEG/wave/XC644981-small.png', 'med': '//xeno-canto.org/sounds/uploaded/APBCHAOWEG/wave/XC644981-med.png', 'large': '//xeno-canto.org/sounds/uploaded/APBCHAOWEG/wave/XC644981-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:34,15:00,2021-04-22,2021-05-03,[],A breeding pair of ruddy shellduck were grazing on the lake shore. Then they saw me and swam away from the shore. A little further from the shore they continued to swim calling each other.,yes,yes,no,,,no,,,44100
341260,Tadorna,ferruginea,,birds,Ruddy Shelduck,Tero Linjama,Turkey,Gulgu Gölu,38.6141,33.1519,900,call,,,field recording,//xeno-canto.org/341260,https://xeno-canto.org/341260/download,XC341260-196_phorub_kutsu_Turkki_Gulu-Gölu_2015-06-04.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/YSDNMROVID/ffts/XC341260-small.png', 'med': '//xeno-canto.org/sounds/uploaded/YSDNMROVID/ffts/XC341260-med.png', 'large': '//xeno-canto.org/sounds/uploaded/YSDNMROVID/ffts/XC341260-large.png', 'full': '//xeno-canto.org/sounds/uploaded/YSDNMROVID/ffts/XC341260-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/YSDNMROVID/wave/XC341260-small.png', 'med': '//xeno-canto.org/sounds/uploaded/YSDNMROVID/wave/XC341260-med.png', 'large': '//xeno-canto.org/sounds/uploaded/YSDNMROVID/wave/XC341260-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:18,07:00,2015-06-04,2016-11-02,[],Background Greater Flamingos ,yes,yes,no,,,no,,,44100
74646,Tadorna,ferruginea,,birds,Ruddy Shelduck,Tomas Belka,Turkey,"Mouth of the river Kavak,  Evrese town",40.628936450877,26.8298149108887,0,call,,,field recording,//xeno-canto.org/74646,https://xeno-canto.org/74646/download,XC-TADFER.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/UVCHPWXJBN/ffts/XC74646-small.png', 'med': '//xeno-canto.org/sounds/uploaded/UVCHPWXJBN/ffts/XC74646-med.png', 'large': '//xeno-canto.org/sounds/uploaded/UVCHPWXJBN/ffts/XC74646-large.png', 'full': '//xeno-canto.org/sounds/uploaded/UVCHPWXJBN/ffts/XC74646-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/UVCHPWXJBN/wave/XC74646-small.png', 'med': '//xeno-canto.org/sounds/uploaded/UVCHPWXJBN/wave/XC74646-med.png', 'large': '//xeno-canto.org/sounds/uploaded/UVCHPWXJBN/wave/XC74646-large.png'}",//creativecommons.org/licenses/by-nc-nd/2.5/,A,0:21,8:40,2010-06-08,2011-03-29,['Emberiza calandra'],Voice on the breeding place,unknown,unknown,unknown,,,no,,,48000
